Type,Time,Gained,Down,ToGo,Location
Pass,13:25,0,1,15,NWE 14
Pass,13:22,13,2,15,NWE 14
Pass,12:40,18,3,2,NWE 27
Pass,11:57,24,1,10,NWE 45
Pass,11:22,15,1,10,MIN 31
Run,10:39,15,1,10,MIN 16
Run,10:07,0,1,1,MIN 1
Run,9:36,1,2,1,MIN 1
Run,5:26,7,1,10,NWE 38
Run,4:57,0,2,3,NWE 45
Run,4:13,5,3,3,NWE 45
Run,3:29,4,1,10,50
Pass,2:47,0,2,6,MIN 46
Pass,2:43,0,3,6,MIN 46
Run,14:01,10,1,10,NWE 31
Run,13:29,-4,1,10,NWE 41
Pass,12:47,8,2,14,NWE 37
Pass,12:04,11,3,6,NWE 45
Pass,11:24,15,1,10,MIN 44
Run,10:44,6,1,10,MIN 29
Run,10:09,3,2,4,MIN 23
Run,9:45,2,3,1,MIN 20
Pass,9:03,6,1,10,MIN 18
Run,8:27,1,2,4,MIN 12
Pass,7:56,4,3,3,MIN 11
Run,7:16,1,1,7,MIN 7
Pass,6:32,5,2,6,MIN 6
Pass,5:50,0,3,1,MIN 1
Run,3:07,5,1,10,NWE 17
Pass,2:34,4,2,5,NWE 22
Run,2:14,0,3,1,NWE 26
Pass,0:07,7,1,10,NWE 40
Pass,0:01,42,2,3,NWE 47
Run,14:54,4,1,10,NWE 36
Pass,14:33,0,2,6,NWE 40
Pass,14:31,0,3,6,NWE 40
Pass,12:37,29,1,15,NWE 19
Run,11:57,7,1,10,NWE 48
Pass,11:25,9,2,3,MIN 45
Run,10:53,5,1,10,MIN 36
Pass,10:02,8,2,13,MIN 39
Run,9:23,4,3,5,MIN 31
Pass,8:48,2,4,1,MIN 27
Run,7:53,1,1,20,MIN 35
Pass,7:16,4,2,19,MIN 34
Pass,6:33,0,3,15,MIN 30
Pass,2:20,24,1,10,NWE 25
Pass,1:43,15,1,10,NWE 49
Run,1:19,12,1,10,MIN 36
Pass,0:42,24,1,10,MIN 24
Pass,14:02,7,1,10,MIN 30
Run,13:29,2,2,3,MIN 23
Run,12:49,2,3,1,MIN 21
Pass,12:12,7,1,10,MIN 19
Pass,11:34,10,2,3,MIN 12
Run,10:57,2,1,2,MIN 2
Run,6:10,3,1,10,NWE 44
Run,4:36,6,1,10,NWE 25
Run,3:54,3,2,4,NWE 31
Run,3:14,1,3,1,NWE 34
Run,2:29,5,1,10,NWE 35
Run,2:13,6,1,10,50
Run,2:00,8,2,4,MIN 44
Run,1:49,1,1,17,MIN 43
Run,1:44,4,2,16,MIN 42
Run,1:39,3,3,12,MIN 38
