Type,Time,Gained,Down,ToGo,Location
Pass,8:34,4,1,10,NWE 23
Pass,7:54,5,2,6,NWE 27
Pass,6:58,63,1,10,NWE 37
Pass,3:06,19,1,10,NWE 22
Pass,2:45,11,1,10,NWE 41
Pass,2:23,0,1,10,PIT 48
Run,2:16,2,2,10,PIT 48
Pass,1:35,0,3,8,PIT 46
Run,12:01,5,1,10,NWE 25
Run,11:32,11,2,5,NWE 30
Run,11:06,3,1,10,NWE 41
Pass,10:01,7,2,17,NWE 34
Pass,9:18,6,3,10,NWE 41
Pass,6:01,0,1,10,NWE 24
Pass,5:56,5,2,10,NWE 24
Pass,5:25,0,3,5,NWE 29
Run,3:03,2,1,10,NWE 19
Pass,2:27,3,2,8,NWE 21
Pass,2:00,7,3,5,NWE 24
Run,1:54,6,1,10,NWE 31
Pass,1:14,0,2,9,NWE 32
Pass,1:07,8,3,9,NWE 32
Run,15:00,13,1,10,NWE 25
Run,14:27,2,1,10,NWE 38
Run,13:52,2,2,8,NWE 40
Pass,13:11,0,3,6,NWE 42
Pass,8:32,8,1,10,NWE 22
Run,8:00,5,2,2,NWE 30
Pass,6:50,11,1,20,NWE 25
Pass,6:06,-7,2,9,NWE 36
Run,5:23,5,1,10,50
Run,4:48,5,2,5,PIT 45
Run,4:10,2,1,10,PIT 40
Run,3:36,9,2,8,PIT 38
Run,2:59,10,1,10,PIT 29
Run,2:20,4,1,10,PIT 19
Run,1:43,2,2,6,PIT 15
Pass,1:18,3,3,4,PIT 13
Pass,13:29,6,1,10,NWE 41
Pass,12:48,13,2,4,NWE 47
Pass,12:07,25,1,10,PIT 40
Run,11:20,2,1,10,PIT 15
Pass,10:10,5,2,13,PIT 18
Pass,9:28,8,3,8,PIT 13
Pass,8:34,-1,1,15,PIT 15
Pass,2:30,0,1,10,NWE 25
Pass,2:23,9,2,10,NWE 25
Run,2:03,6,3,1,NWE 34
Pass,2:00,34,1,15,NWE 35
Pass,1:34,9,1,10,PIT 31
Pass,1:04,6,2,1,PIT 22
Pass,0:44,5,1,10,PIT 16
Pass,0:33,0,2,15,PIT 21
Pass,0:26,0,3,15,PIT 21
Pass,0:20,0,4,15,PIT 21
