Type,Time,Gained,Down,ToGo,Location
Run,15:00,9,1,10,NWE 25
Run,14:32,0,2,1,NWE 34
Run,13:55,2,3,1,NWE 34
Pass,13:16,11,1,10,NWE 36
Run,12:43,-2,1,10,NWE 47
Pass,12:02,5,2,12,NWE 45
Pass,11:26,0,3,7,50
Pass,10:16,6,1,10,NWE 41
Run,9:47,1,2,4,NWE 47
Pass,9:03,8,3,3,NWE 48
Pass,8:26,9,1,10,NYJ 44
Run,7:41,0,2,1,NYJ 35
Run,7:09,2,3,1,NYJ 35
Pass,6:29,2,1,10,NYJ 33
Pass,5:57,14,2,8,NYJ 31
Pass,5:23,17,1,10,NYJ 17
Pass,0:54,0,1,10,NWE 25
Pass,0:52,18,2,10,NWE 25
Pass,0:27,1,1,10,NWE 43
Pass,15:00,18,2,9,NWE 44
Pass,14:10,4,1,15,NYJ 43
Run,13:41,21,2,11,NYJ 39
Pass,12:57,18,1,10,NYJ 18
Pass,12:43,0,1,8,NYJ 8
Pass,12:10,0,2,18,NYJ 18
Run,11:56,0,1,9,NYJ 9
Pass,11:17,0,2,9,NYJ 9
Pass,11:12,9,3,9,NYJ 9
Pass,4:28,8,1,10,NWE 5
Run,3:55,14,2,2,NWE 13
Pass,3:12,17,1,10,NWE 27
Run,2:24,11,1,10,NWE 44
Run,2:00,8,1,10,NYJ 45
Pass,1:22,0,2,2,NYJ 37
Run,1:19,1,3,2,NYJ 37
Run,0:32,0,4,1,NYJ 36
Pass,12:51,0,1,20,NWE 18
Pass,12:43,0,2,20,NWE 18
Pass,12:35,0,3,20,NWE 18
Run,5:05,1,1,10,NWE 9
Pass,4:32,10,2,9,NWE 10
Run,3:57,14,1,10,NWE 20
Run,3:18,3,1,10,NWE 34
Run,2:33,6,2,7,NWE 37
Run,1:54,0,3,1,NWE 43
Pass,12:33,17,1,10,NWE 36
Pass,12:07,20,1,10,NYJ 47
Pass,11:38,5,1,10,NYJ 27
Pass,11:05,-6,2,5,NYJ 22
Pass,10:23,9,3,11,NYJ 28
Run,8:32,11,1,10,NWE 36
Run,7:54,-4,1,10,NWE 47
Run,7:15,18,2,14,NWE 43
Run,6:34,1,1,10,NYJ 39
Run,5:52,5,2,9,NYJ 38
Run,5:07,6,3,4,NYJ 33
Run,4:23,8,1,10,NYJ 27
Pass,3:47,7,2,2,NYJ 19
Pass,3:36,12,1,15,NYJ 17
Pass,3:30,5,2,3,NYJ 5
Run,2:15,-2,1,10,NWE 10
