Type,Time,Gained,Down,ToGo,Location
Run,15:00,6,1,10,NWE 25
Run,14:25,1,2,4,NWE 31
Run,13:49,1,3,3,NWE 32
Pass,12:58,0,1,10,HTX 19
Run,12:54,3,2,10,HTX 19
Pass,11:58,21,3,12,HTX 21
Pass,10:21,5,1,10,NWE 33
Pass,9:41,6,2,5,NWE 38
Run,9:05,3,1,10,NWE 44
Pass,8:41,4,2,7,NWE 47
Pass,8:01,0,3,3,HTX 49
Run,5:39,6,1,10,NWE 6
Run,5:02,3,2,4,NWE 12
Pass,2:33,10,1,10,NWE 25
Pass,1:57,6,1,10,NWE 35
Pass,1:19,0,2,4,NWE 41
Pass,1:14,11,1,10,HTX 45
Pass,0:32,0,1,10,HTX 34
Run,0:29,4,2,10,HTX 34
Pass,15:00,5,3,6,HTX 30
Run,14:37,2,4,1,HTX 25
Run,13:55,1,1,10,HTX 23
Run,13:23,10,2,9,HTX 22
Pass,12:45,12,1,10,HTX 12
Pass,8:50,5,2,10,NWE 18
Pass,8:13,7,3,5,NWE 23
Pass,7:30,0,1,10,NWE 30
Pass,7:25,0,2,10,NWE 30
Pass,7:23,0,3,10,NWE 30
Run,5:30,2,1,10,NWE 20
Pass,5:07,4,2,8,NWE 22
Pass,4:37,0,3,4,NWE 26
Run,1:28,8,1,10,NWE 22
Run,1:08,11,2,2,NWE 30
Pass,1:05,28,1,10,NWE 41
Run,0:42,1,1,10,HTX 31
Pass,0:32,0,2,9,HTX 30
Pass,0:27,0,1,10,HTX 18
Pass,0:23,14,2,10,HTX 18
Pass,0:19,4,1,4,HTX 4
Run,12:54,4,1,10,NWE 21
Run,9:52,2,1,10,NWE 17
Run,9:08,5,2,8,NWE 19
Pass,8:39,30,3,3,NWE 24
Pass,8:15,3,1,10,HTX 46
Run,7:54,2,2,7,HTX 43
Pass,7:22,0,3,5,HTX 41
Pass,7:15,13,1,10,HTX 36
Run,6:44,3,1,10,HTX 23
Pass,6:13,0,2,7,HTX 20
Pass,6:08,0,3,7,HTX 20
Run,1:52,12,1,10,NWE 25
Pass,1:08,3,1,10,NWE 37
Pass,0:21,12,2,7,NWE 40
Pass,15:00,0,1,10,HTX 48
Pass,14:56,9,2,10,HTX 48
Run,14:15,4,3,1,HTX 39
Run,13:46,4,1,10,HTX 35
Pass,13:10,8,2,6,HTX 31
Pass,12:27,10,1,10,HTX 23
Run,11:46,3,1,10,HTX 13
Pass,11:07,-7,2,7,HTX 10
Run,10:21,0,3,14,HTX 17
Run,7:09,0,1,10,NWE 12
Pass,6:39,-3,2,10,NWE 12
Run,5:58,11,3,13,NWE 9
Run,2:08,2,1,10,NWE 25
Pass,2:00,10,2,8,NWE 27
Run,1:49,1,1,10,NWE 37
Run,1:44,7,2,9,NWE 38
Run,1:39,0,3,2,NWE 45
