Type,Time,Gained,Down,ToGo,Location
Pass,15:00,9,1,10,NWE 25
Run,14:26,2,2,1,NWE 34
Run,13:51,2,1,10,NWE 36
Pass,13:12,23,2,8,NWE 38
Pass,12:36,0,1,10,JAX 39
Run,12:30,3,2,10,JAX 39
Pass,11:49,0,3,7,JAX 36
Pass,7:46,7,1,10,NWE 25
Run,7:21,2,2,3,NWE 32
Run,6:52,-1,3,1,NWE 34
Run,2:10,3,1,10,NWE 25
Pass,1:37,0,2,7,NWE 28
Pass,1:32,12,3,7,NWE 28
Run,0:58,5,1,10,NWE 40
Pass,0:12,0,2,5,NWE 45
Run,0:07,3,3,5,NWE 45
Pass,11:05,6,1,10,NWE 6
Pass,10:25,3,2,4,NWE 12
Run,9:44,1,3,1,NWE 15
Run,9:00,5,1,10,NWE 16
Pass,8:16,6,2,5,NWE 21
Pass,7:37,14,1,10,NWE 27
Run,7:00,3,1,10,NWE 41
Pass,6:27,11,2,7,NWE 44
Run,5:45,2,1,10,JAX 45
Pass,5:02,10,2,8,JAX 43
Run,4:35,5,1,10,JAX 33
Pass,4:14,6,2,5,JAX 28
Pass,3:38,0,1,10,JAX 11
Pass,3:33,0,2,10,JAX 11
Pass,2:56,0,3,10,JAX 11
Pass,7:44,0,1,10,NWE 10
Pass,7:39,5,2,10,NWE 10
Pass,6:57,0,3,5,NWE 15
Run,5:48,2,1,10,JAX 48
Pass,5:12,2,2,8,JAX 46
Run,4:27,10,3,6,JAX 44
Pass,3:47,9,1,10,JAX 34
Run,3:07,15,2,1,JAX 25
Run,2:47,3,1,10,JAX 10
Run,2:25,0,2,7,JAX 7
Pass,1:47,7,3,7,JAX 7
Pass,0:37,27,1,10,NWE 41
Pass,0:06,6,1,10,JAX 32
Pass,15:00,0,2,4,JAX 26
Pass,14:54,-2,3,4,JAX 26
Pass,13:23,0,1,10,JAX 25
Run,13:18,1,2,10,JAX 25
Run,9:37,2,1,10,NWE 9
Pass,9:02,3,2,8,NWE 11
Pass,8:21,5,3,5,NWE 14
Run,7:35,1,1,10,NWE 25
Run,7:09,12,2,9,NWE 26
Run,6:36,2,1,10,NWE 38
Pass,6:05,19,2,8,NWE 40
Pass,5:19,-6,1,10,JAX 41
Pass,4:34,18,2,16,JAX 47
Pass,3:52,0,1,10,JAX 29
Pass,3:48,29,2,10,JAX 29
