Type,Time,Gained,Down,ToGo,Location
Pass,15:00,9,1,10,NWE 25
Run,14:28,0,2,1,NWE 34
Run,13:56,2,3,1,NWE 34
Pass,13:28,10,1,10,NWE 36
Pass,12:51,4,1,10,NWE 46
Pass,12:30,13,2,6,50
Pass,11:50,19,1,10,CLT 37
Pass,11:10,11,1,15,CLT 23
Pass,10:37,5,2,4,CLT 12
Run,10:14,0,1,7,CLT 7
Pass,9:40,6,2,7,CLT 7
Pass,9:03,1,3,1,CLT 1
Pass,7:18,4,1,10,CLT 49
Run,6:46,1,2,6,CLT 45
Pass,6:21,0,3,5,CLT 44
Pass,0:58,5,1,10,NWE 28
Pass,0:27,18,2,5,NWE 33
Pass,15:00,12,1,10,CLT 49
Pass,14:21,6,1,10,CLT 37
Run,14:03,14,1,10,CLT 16
Run,13:34,1,1,2,CLT 2
Run,12:52,0,2,1,CLT 1
Run,12:16,1,3,1,CLT 1
Pass,8:49,0,1,10,NWE 25
Pass,8:42,0,2,10,NWE 25
Pass,8:38,1,3,10,NWE 25
Run,5:23,-1,1,10,NWE 32
Pass,4:49,12,2,11,NWE 31
Pass,4:10,21,1,10,NWE 43
Run,3:34,5,1,10,CLT 36
Run,3:02,15,2,5,CLT 31
Run,2:25,3,1,10,CLT 16
Pass,2:00,6,2,7,CLT 13
Run,1:52,1,3,1,CLT 7
Pass,1:42,7,1,13,CLT 13
Pass,1:37,6,2,6,CLT 6
Pass,0:38,16,1,10,CLT 49
Pass,0:32,0,1,10,CLT 33
Pass,0:27,6,2,10,CLT 33
Pass,0:22,5,3,9,CLT 32
Pass,12:42,4,1,10,NWE 5
Pass,12:05,0,2,6,NWE 9
Pass,12:00,0,3,6,NWE 9
Run,9:43,1,1,10,NWE 32
Pass,9:09,5,2,9,NWE 33
Pass,8:35,15,3,4,NWE 38
Pass,7:55,15,1,10,CLT 47
Run,7:40,2,1,10,CLT 32
Pass,5:00,3,1,10,50
Pass,4:24,13,2,7,CLT 47
Pass,3:48,19,1,10,CLT 34
Pass,2:43,0,1,20,CLT 25
Pass,12:48,16,1,10,NWE 25
Run,12:14,6,1,10,NWE 41
Run,11:37,5,2,4,NWE 47
Pass,10:58,11,1,10,CLT 48
Pass,10:35,7,1,10,CLT 48
Pass,10:06,7,2,3,CLT 41
Pass,9:28,34,1,10,CLT 34
Run,7:15,34,1,10,CLT 34
Run,3:23,3,1,10,NWE 15
Run,3:16,3,2,7,NWE 18
Pass,3:12,0,3,4,NWE 21
