Type,Time,Gained,Down,ToGo,Location
Run,14:54,5,1,10,NWE 41
Run,14:33,5,2,5,NWE 46
Pass,14:12,0,1,10,GNB 49
Pass,14:04,14,2,10,GNB 49
Pass,13:45,6,1,10,GNB 35
Pass,13:26,10,2,4,GNB 29
Pass,13:04,7,1,10,GNB 19
Pass,12:44,3,2,3,GNB 12
Run,12:19,3,3,1,GNB 10
Run,11:44,8,1,8,GNB 8
Pass,5:05,16,1,10,NWE 25
Run,4:40,3,1,10,NWE 41
Pass,4:18,0,2,7,NWE 44
Pass,4:16,-10,3,7,NWE 44
Run,0:09,11,1,10,NWE 17
Pass,15:00,29,1,10,NWE 28
Pass,14:32,33,1,10,GNB 43
Run,14:08,0,1,10,GNB 10
Pass,13:39,0,2,10,GNB 10
Pass,13:37,0,3,10,GNB 10
Pass,12:37,0,1,10,NWE 27
Pass,12:04,0,2,10,NWE 27
Pass,11:53,0,3,10,NWE 27
Run,4:43,4,1,10,NWE 31
Pass,4:12,4,2,6,NWE 35
Run,3:52,6,3,2,NWE 39
Run,3:21,10,1,10,NWE 45
Run,3:06,17,1,10,GNB 30
Run,2:31,8,1,10,GNB 13
Run,2:00,5,2,2,GNB 5
Run,11:18,4,1,10,NWE 25
Pass,10:38,17,2,6,NWE 29
Pass,9:59,3,1,10,NWE 46
Pass,9:37,14,2,7,NWE 49
Pass,9:14,7,1,10,GNB 37
Pass,8:53,21,2,3,GNB 30
Pass,8:16,0,1,9,GNB 9
Pass,8:12,0,2,9,GNB 9
Run,8:04,0,1,1,GNB 1
Run,7:29,0,2,1,GNB 1
Pass,7:13,0,3,1,GNB 1
Pass,7:06,0,4,1,GNB 1
Pass,5:14,0,1,10,NWE 38
Pass,5:11,0,2,10,NWE 38
Pass,5:07,-11,3,10,NWE 38
Run,4:15,0,1,10,NWE 42
Pass,3:35,7,2,10,NWE 42
Pass,2:49,0,3,3,NWE 49
Run,14:52,1,1,10,NWE 24
Run,14:15,2,2,9,NWE 25
Pass,13:33,17,3,7,NWE 27
Pass,12:51,5,1,10,NWE 44
Pass,12:27,8,2,5,NWE 49
Pass,12:07,4,1,10,GNB 43
Pass,11:44,37,2,6,GNB 39
Run,11:13,1,1,2,GNB 2
Run,10:30,0,2,1,GNB 1
Run,10:09,1,3,1,GNB 1
Pass,8:30,17,1,10,NWE 28
Run,7:56,0,1,10,NWE 45
Pass,7:28,55,2,10,NWE 45
Run,3:48,4,1,10,NWE 48
Pass,3:41,15,2,6,GNB 48
Run,3:36,1,1,10,GNB 33
Run,2:49,11,2,9,GNB 32
