"","Rk","G","Date","Age","Tm","X","Opp","X.1","GS","MP","FG","FGA","FG.","X3P","X3PA","X3P.","FT","FTA","FT.","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","X...","Result","Dummy"
"1",1,1,"2012-10-31","23-066","HOU","@","DET","W (+9)","1","44:04","14","25",".560","4","10",".400","5","6",".833","1","5","6","12","4","1","4","2","37","35.2","+18","W",1
"2",2,2,"2012-11-02","23-068","HOU","@","ATL","W (+7)","1","39:49","14","19",".737","2","4",".500","15","17",".882","1","6","7","2","0","0","5","3","45","34.2","+17","W",1
"3",3,3,"2012-11-03","23-069","HOU","","POR","L (-10)","1","40:43","8","24",".333","1","6",".167","7","10",".700","2","4","6","5","1","1","5","3","24","10.8","-16","L",0
"4",4,4,"2012-11-07","23-073","HOU","","DEN","L (-6)","1","38:20","5","15",".333","0","5",".000","5","7",".714","1","2","3","2","5","0","6","1","15","7.0","-6","L",0
"5",5,5,"2012-11-09","23-075","HOU","@","MEM","L (-8)","1","40:38","4","18",".222","1","6",".167","9","10",".900","2","2","4","4","0","2","5","1","18","7.4","-2","L",0
"6",6,6,"2012-11-10","23-076","HOU","","DET","W (+14)","1","35:16","6","14",".429","2","6",".333","6","7",".857","0","5","5","2","0","0","5","0","20","10.1","+11","W",1
"7",7,7,"2012-11-12","23-078","HOU","","MIA","L (-3)","1","39:50","6","17",".353","1","6",".167","9","11",".818","0","3","3","5","1","1","2","4","22","14.2","-9","L",0
"8",8,8,"2012-11-14","23-080","HOU","","NOH","W (+4)","1","39:19","10","20",".500","1","7",".143","9","11",".818","0","3","3","4","0","1","1","2","30","21.8","-2","W",1
"9",9,9,"2012-11-16","23-082","HOU","@","POR","L (-2)","1","43:26","8","18",".444","2","4",".500","11","12",".917","2","4","6","6","3","0","4","4","29","23.4","0","L",0
"10",10,10,"2012-11-18","23-084","HOU","@","LAL","L (-11)","1","38:19","7","18",".389","3","7",".429","3","5",".600","0","2","2","7","1","0","5","2","20","10.1","-10","L",0
