year,lg,team,G,Ghome,W,L,R,AB,H,1B,2B,3B,HR,BB,SO,SB,CS,HBP,SF
2000,AL,ANA,162,81,82,80,864,5628,1574,995,309,34,236,608,1024,93,52,47,43
2000,AL,BAL,162,81,74,88,794,5549,1508,992,310,22,184,558,900,126,65,49,54
2000,AL,BOS,162,81,85,77,792,5630,1503,988,316,32,167,611,1019,43,30,42,48
2000,AL,CHA,162,81,95,67,978,5646,1615,1041,325,33,216,591,960,119,42,53,61
2000,AL,CLE,162,81,90,72,950,5683,1639,1078,310,30,221,685,1057,113,34,51,52
2000,AL,DET,162,81,79,83,823,5644,1553,1028,307,41,177,562,982,83,38,43,49
2000,AL,KCA,162,81,77,85,879,5709,1644,1186,281,27,150,511,840,121,35,48,70
2000,AL,MIN,162,81,69,93,748,5615,1516,1026,325,49,116,556,1021,90,45,35,51
2000,AL,NYA,161,80,87,74,871,5556,1541,1017,294,25,205,631,1007,99,48,57,50
2000,AL,OAK,161,81,91,70,947,5560,1501,958,281,23,239,750,1159,40,15,52,44
2000,AL,SEA,162,81,91,71,907,5497,1481,957,300,26,198,775,1073,122,56,48,61
2000,AL,TBA,161,80,69,92,733,5505,1414,977,253,22,162,559,1022,90,46,48,40
2000,AL,TEX,162,81,71,91,848,5648,1601,1063,330,35,173,580,922,69,47,39,48
2000,AL,TOR,162,81,83,79,861,5677,1562,969,328,21,244,526,1026,89,34,60,34
2000,NL,ARI,162,81,85,77,792,5527,1466,961,282,44,179,535,975,97,44,59,58
2000,NL,ATL,162,81,95,67,810,5489,1490,1011,274,26,179,595,1010,148,56,59,45
2000,NL,CHN,162,81,65,97,764,5577,1426,948,272,23,183,632,1120,93,37,54,45
2000,NL,CIN,163,82,85,77,825,5635,1545,1007,302,36,200,559,995,99,38,64,58
2000,NL,COL,162,81,82,80,968,5660,1664,1130,320,53,161,601,907,131,61,42,75
2000,NL,FLO,161,81,79,82,731,5509,1441,978,274,29,160,540,1184,168,55,60,51
2000,NL,HOU,162,81,72,90,938,5570,1547,973,289,36,249,673,1129,114,52,83,61
2000,NL,LAN,162,81,86,76,798,5481,1408,904,265,28,211,668,1083,95,42,51,46
2000,NL,MIL,163,81,73,89,740,5563,1366,867,297,25,177,620,1245,72,44,61,49
2000,NL,MON,162,81,67,95,738,5535,1475,952,310,35,178,476,1048,58,48,29,34
2000,NL,NYN,162,81,94,68,807,5486,1445,945,282,20,198,675,1037,66,46,45,51
2000,NL,PHI,162,81,65,97,708,5511,1386,898,304,40,144,611,1117,102,30,44,37
2000,NL,PIT,162,81,69,93,793,5643,1506,987,320,31,168,564,1032,86,40,66,37
2000,NL,SDN,162,81,76,86,752,5560,1413,940,279,37,157,602,1177,131,53,46,43
2000,NL,SFN,162,81,97,65,925,5519,1535,961,304,44,226,709,1032,79,39,51,66
2000,NL,SLN,162,81,95,67,887,5478,1481,962,259,25,235,675,1253,87,51,84,53
2001,AL,ANA,162,81,75,87,691,5551,1447,988,275,26,158,494,1001,116,52,77,53
2001,AL,BAL,162,80,63,98,687,5472,1359,937,262,24,136,514,989,133,53,77,49
2001,AL,BOS,161,81,82,79,772,5605,1493,950,316,29,198,520,1131,46,35,70,41
2001,AL,CHA,162,81,83,79,798,5464,1463,920,300,29,214,520,998,123,59,52,51
2001,AL,CLE,162,80,91,71,897,5600,1559,1016,294,37,212,577,1076,79,41,69,62
2001,AL,DET,162,81,66,96,724,5537,1439,949,291,60,139,466,972,133,61,51,49
2001,AL,KCA,162,81,65,97,729,5643,1503,1037,277,37,152,406,898,100,42,44,47
