Type,Time,Gained,Down,ToGo,Location
Pass,11:29,-3,1,10,NWE 25
Pass,10:53,0,2,13,NWE 22
Pass,10:49,44,3,13,NWE 22
Pass,10:16,0,1,10,OTI 34
Pass,10:11,0,2,10,OTI 34
Pass,9:27,0,3,10,OTI 34
Pass,5:49,0,1,10,NWE 24
Run,5:45,2,2,10,NWE 24
Pass,5:04,-11,3,8,NWE 26
Pass,2:35,29,1,10,NWE 25
Run,1:54,7,1,10,OTI 46
Run,1:25,5,2,3,OTI 39
Pass,0:50,14,1,10,OTI 34
Run,0:17,3,1,10,OTI 20
Pass,15:00,5,2,7,OTI 17
Run,14:38,0,3,2,OTI 12
Pass,13:59,11,4,2,OTI 12
Run,13:30,0,1,1,OTI 1
Run,12:54,1,2,1,OTI 1
Pass,11:25,20,1,10,NWE 30
Run,10:37,1,1,10,OTI 40
Pass,10:05,0,2,9,OTI 39
Pass,9:33,0,3,4,OTI 34
Run,6:27,4,1,10,NWE 9
Pass,5:50,0,2,6,NWE 13
Pass,5:45,0,3,6,NWE 13
Pass,1:09,0,1,10,NWE 25
Pass,1:01,0,2,10,NWE 25
Pass,0:54,11,3,10,NWE 25
Pass,0:31,11,1,10,NWE 36
Pass,0:21,10,1,10,NWE 47
Pass,0:06,0,2,10,OTI 43
Pass,0:02,-7,3,10,OTI 43
Run,14:52,1,1,10,NWE 35
Pass,14:11,0,2,9,NWE 36
Pass,14:06,-5,3,9,NWE 36
Pass,11:49,8,1,10,NWE 16
Run,11:18,6,2,2,NWE 24
Pass,10:40,0,1,10,NWE 30
Pass,10:34,0,2,10,NWE 30
Pass,10:29,23,3,10,NWE 30
Pass,10:07,0,1,10,OTI 47
Pass,10:00,6,2,10,OTI 47
Pass,9:18,0,3,4,OTI 41
Pass,4:15,6,1,10,NWE 25
Pass,3:51,6,2,4,NWE 31
Run,3:32,-5,1,10,NWE 37
Pass,2:57,11,2,15,NWE 32
Pass,2:15,0,3,4,NWE 43
Pass,13:32,17,1,10,NWE 25
Pass,13:10,6,1,10,NWE 42
Pass,12:47,6,2,4,NWE 48
Pass,12:24,0,1,10,OTI 46
Pass,12:19,3,2,10,OTI 46
Pass,11:41,6,3,7,OTI 43
Pass,10:53,0,4,6,OTI 42
Run,7:06,-1,1,10,NWE 19
Run,6:15,4,2,16,NWE 13
Pass,5:39,7,3,12,NWE 17
Run,2:18,-2,1,10,NWE 34
Run,2:00,2,2,12,NWE 32
Run,1:29,9,3,10,NWE 34
Run,0:55,2,4,1,NWE 43
Run,0:29,1,1,10,NWE 45
