Type,Time,Gained,Down,ToGo,Location
Run,11:28,7,1,10,NWE 13
Run,10:58,2,2,3,NWE 20
Run,10:26,2,3,1,NWE 22
Pass,9:43,36,1,10,NWE 24
Run,8:59,0,1,10,NYJ 40
Pass,8:24,0,2,10,NYJ 40
Pass,8:19,0,3,10,NYJ 40
Pass,4:02,23,1,10,NWE 25
Pass,3:22,20,1,10,NWE 48
Run,2:39,4,1,10,NYJ 32
Run,2:04,4,2,6,NYJ 28
Pass,1:18,34,3,12,NYJ 34
Pass,14:02,3,1,10,NWE 10
Pass,13:19,15,2,7,NWE 13
Pass,12:18,16,1,18,NWE 20
Run,11:08,4,2,7,NWE 31
Run,10:54,3,1,10,NWE 40
Pass,10:15,4,2,7,NWE 43
Pass,9:09,0,3,18,NWE 32
Run,7:25,12,1,10,NWE 30
Pass,6:35,5,1,15,NWE 37
Pass,5:57,11,2,10,NWE 42
Pass,5:20,0,1,10,NYJ 47
Pass,5:14,13,2,10,NYJ 47
Run,4:37,5,1,10,NYJ 34
Run,4:01,7,2,5,NYJ 29
Run,3:18,6,1,10,NYJ 22
Pass,2:39,0,2,4,NYJ 16
Pass,2:34,0,3,4,NYJ 16
Run,1:52,0,1,10,NWE 2
Run,1:48,6,2,10,NWE 2
Run,1:40,2,3,4,NWE 8
Run,15:00,31,1,10,NWE 25
Pass,14:19,7,1,10,NYJ 44
Run,13:47,2,2,3,NYJ 37
Run,13:07,3,3,1,NYJ 35
Run,12:26,4,1,10,NYJ 32
Pass,11:53,8,2,6,NYJ 28
Pass,11:00,7,1,17,NYJ 27
Run,10:22,9,2,10,NYJ 20
Run,9:47,0,3,1,NYJ 11
Run,9:28,2,4,1,NYJ 11
Pass,8:51,0,1,9,NYJ 9
Pass,8:47,0,2,9,NYJ 9
Pass,8:44,0,3,9,NYJ 9
Pass,4:00,27,1,10,NWE 25
Run,3:17,27,1,10,NYJ 48
Run,2:33,0,1,10,NYJ 21
Pass,1:59,21,2,10,NYJ 21
Run,13:23,33,1,10,NWE 20
Pass,12:35,0,1,10,NYJ 47
Pass,12:29,0,2,10,NYJ 47
Pass,12:24,17,3,10,NYJ 47
Run,11:25,1,1,5,NYJ 25
Run,10:45,5,2,4,NYJ 24
Pass,10:06,16,1,10,NYJ 19
Run,9:45,0,1,1,NYJ 1
Run,9:06,0,2,1,NYJ 1
Run,8:58,1,3,1,NYJ 1
Run,7:27,2,1,10,NWE 14
Pass,6:45,-1,2,8,NWE 16
Pass,6:06,1,3,9,NWE 15
Run,1:52,3,1,10,NWE 4
Run,1:48,24,2,7,NWE 7
