Type,Time,Gained,Down,ToGo,Location
Run,14:52,5,1,10,NWE 42
Run,14:28,1,2,5,NWE 47
Pass,13:49,0,3,4,NWE 48
Pass,5:48,-1,1,10,NWE 25
Pass,5:15,0,2,11,NWE 24
Pass,5:11,0,3,11,NWE 24
Run,14:12,2,1,10,NWE 25
Pass,13:38,7,2,8,NWE 27
Run,13:12,-1,3,1,NWE 34
Pass,4:58,9,1,10,NWE 25
Pass,4:27,0,2,1,NWE 34
Run,3:55,2,3,1,NWE 34
Pass,3:23,0,1,10,NWE 36
Pass,3:16,15,2,10,NWE 36
Run,2:35,5,1,10,DET 49
Pass,2:00,19,2,5,DET 44
Pass,1:37,6,1,10,DET 25
Run,1:08,3,2,4,DET 19
Run,0:51,-2,3,1,DET 16
Run,13:34,12,1,10,NWE 48
Run,13:09,2,1,10,DET 40
Run,12:44,3,1,10,DET 23
Pass,12:20,19,1,20,DET 33
Run,11:41,2,2,1,DET 14
Pass,10:55,0,1,10,DET 12
Run,10:50,2,2,10,DET 12
Pass,10:10,10,3,8,DET 10
Pass,3:38,9,1,10,NWE 29
Run,3:06,7,2,1,NWE 38
Pass,2:31,0,1,10,NWE 45
Pass,2:26,0,2,10,NWE 45
Pass,2:21,0,3,10,NWE 45
Pass,12:37,-10,1,10,NWE 21
Pass,12:29,12,2,20,NWE 11
Pass,11:52,-3,3,8,NWE 23
Run,9:18,9,1,10,NWE 26
Run,8:48,6,2,1,NWE 35
Run,8:16,2,1,10,NWE 41
Pass,4:36,8,1,10,NWE 15
Pass,4:07,-10,2,2,NWE 23
Pass,3:29,0,3,12,NWE 13
Pass,3:23,0,4,12,NWE 13
Run,1:48,15,1,10,NWE 8
Run,1:27,4,1,10,NWE 23
Run,1:10,13,2,6,NWE 27
Pass,0:48,16,1,10,NWE 40
Pass,0:25,4,1,10,DET 44
