Type,Time,Gained,Down,ToGo,Location
Run,12:05,0,1,10,NWE 24
Pass,11:35,5,2,10,NWE 24
Run,10:53,9,1,10,NWE 34
Run,10:24,13,2,1,NWE 43
Run,9:50,14,1,10,MIA 44
Run,9:11,5,1,10,MIA 30
Run,8:45,5,1,5,MIA 25
Run,8:07,4,1,10,MIA 20
Pass,7:35,0,2,6,MIA 16
Pass,7:29,13,3,6,MIA 16
Run,6:52,2,1,3,MIA 3
Run,6:19,-1,2,1,MIA 1
Pass,5:34,0,3,2,MIA 2
Run,3:27,-1,1,10,NWE 35
Pass,2:52,12,2,11,NWE 34
Pass,2:21,0,1,10,NWE 46
Run,2:16,1,2,10,NWE 46
Pass,14:09,0,1,10,NWE 33
Pass,14:04,3,2,10,NWE 33
Run,13:21,1,1,10,NWE 41
Pass,12:49,3,2,9,NWE 42
Pass,12:11,55,3,6,NWE 45
Pass,10:47,9,1,10,NWE 23
Run,10:07,5,2,1,NWE 32
Run,9:41,13,1,10,NWE 37
Pass,9:24,0,1,20,NWE 27
Run,9:21,5,2,20,NWE 27
Pass,8:48,13,3,15,NWE 32
Run,7:36,22,1,10,MIA 22
Pass,5:49,0,1,10,NWE 15
Run,5:44,3,2,10,NWE 15
Pass,5:09,9,3,7,NWE 18
Run,4:37,23,1,10,NWE 27
Run,4:00,3,1,10,50
Pass,3:18,-4,2,7,MIA 47
Pass,2:37,13,3,11,NWE 49
Run,2:28,3,1,10,MIA 38
Pass,2:00,0,2,7,MIA 35
Pass,1:58,14,3,7,MIA 35
Run,1:22,3,1,10,MIA 21
Run,0:44,1,2,2,MIA 13
Run,0:30,3,3,1,MIA 12
Pass,0:26,0,1,9,MIA 9
Pass,0:23,9,2,9,MIA 9
Run,15:00,2,1,10,NWE 25
Pass,14:30,0,2,8,NWE 27
Pass,14:24,0,3,8,NWE 27
Pass,11:50,4,1,10,NWE 41
Run,11:19,0,1,16,NWE 35
Pass,10:37,9,2,16,NWE 35
Pass,9:51,9,3,7,NWE 44
Run,9:13,7,1,10,MIA 47
Pass,8:39,20,2,3,MIA 40
Run,7:58,2,1,10,MIA 20
Run,7:30,4,2,8,MIA 18
Pass,6:54,14,3,4,MIA 14
Run,5:13,9,1,10,NWE 10
Run,4:38,-2,2,1,NWE 19
Pass,4:02,19,3,3,NWE 17
Pass,3:41,-4,1,10,NWE 36
Pass,3:05,8,2,14,NWE 32
Run,2:15,2,1,10,MIA 43
Run,1:41,11,2,8,MIA 41
Run,0:58,1,1,10,MIA 30
Run,0:22,3,2,9,MIA 29
Pass,15:00,16,3,6,MIA 26
Run,14:23,0,1,10,MIA 10
Run,13:48,10,2,10,MIA 10
Run,11:39,4,1,10,NWE 43
Pass,11:04,25,2,6,NWE 47
Run,10:34,-4,1,10,MIA 28
Run,2:42,11,1,10,NWE 25
