Type,Time,Gained,Down,ToGo,Location
Pass,15:00,12,1,10,NWE 25
Run,14:27,5,1,10,NWE 37
Run,13:54,11,2,5,NWE 42
Pass,13:13,0,1,10,KAN 47
Run,13:10,7,2,10,KAN 47
Pass,12:35,0,3,3,KAN 40
Pass,12:31,0,4,3,KAN 40
Pass,9:02,10,1,10,NWE 30
Run,8:26,8,1,10,NWE 40
Run,7:54,3,2,2,NWE 48
Run,7:21,12,1,10,KAN 49
Run,6:44,0,1,10,KAN 37
Pass,6:03,0,2,10,KAN 37
Pass,5:58,7,3,10,KAN 37
Run,5:01,4,1,4,KAN 4
Run,3:25,4,1,10,NWE 25
Pass,2:51,16,2,6,NWE 29
Run,2:14,10,1,10,NWE 45
Run,1:40,2,1,10,KAN 45
Pass,1:02,14,2,8,KAN 43
Run,0:25,8,1,10,KAN 29
Run,15:00,4,2,2,KAN 21
Pass,14:25,-6,1,10,KAN 17
Pass,13:42,6,2,16,KAN 23
Pass,12:58,17,3,10,KAN 17
Pass,6:21,17,1,10,NWE 25
Run,5:43,5,1,10,NWE 42
Pass,4:58,13,2,5,NWE 47
Pass,4:19,2,1,10,KAN 40
Pass,3:27,-1,1,1,KAN 1
Run,2:39,0,2,1,KAN 1
Run,2:00,1,3,1,KAN 1
Pass,13:20,4,1,10,NWE 30
Run,12:48,4,2,6,NWE 34
Run,12:10,10,3,2,NWE 38
Run,11:36,4,1,10,NWE 48
Pass,10:49,11,2,6,KAN 48
Pass,10:00,9,1,10,KAN 37
Run,9:26,7,2,1,KAN 28
Run,8:49,15,1,10,KAN 21
Run,8:09,1,1,6,KAN 6
Pass,7:30,0,2,5,KAN 5
Pass,7:25,0,3,5,KAN 5
Run,3:36,11,1,10,NWE 25
Pass,2:48,0,1,10,NWE 36
Pass,2:42,0,2,10,NWE 36
Run,0:56,1,1,10,NWE 25
Pass,0:12,21,2,9,NWE 26
Run,15:00,3,1,10,NWE 47
Run,14:26,12,2,7,50
Run,13:42,0,1,10,KAN 38
Pass,13:02,9,2,10,KAN 38
Run,12:28,4,3,1,KAN 29
Run,11:53,2,1,10,KAN 25
Pass,11:15,2,2,8,KAN 23
Pass,10:32,0,3,6,KAN 21
Pass,8:38,9,1,10,NWE 25
Run,8:01,0,2,1,NWE 34
Pass,7:20,42,3,1,NWE 34
Pass,6:56,19,1,10,KAN 24
Pass,6:14,0,1,5,KAN 5
Run,6:10,1,2,5,KAN 5
Run,5:32,4,3,4,KAN 4
Pass,3:50,42,1,10,NWE 21
Run,3:39,1,1,10,KAN 37
Pass,3:30,4,2,9,KAN 36
Pass,3:25,0,3,5,KAN 32
Run,3:03,7,1,10,NWE 25
Run,2:20,2,2,3,NWE 32
Run,2:00,2,3,1,NWE 34
Pass,1:29,16,1,10,NWE 36
Pass,0:51,39,1,10,KAN 48
