Type,Time,Gained,Down,ToGo,Location
Run,15:00,18,1,10,NWE 25
Pass,14:23,13,1,10,NWE 43
Pass,13:42,14,1,10,CHI 44
Run,13:05,6,1,10,CHI 30
Run,12:28,6,2,4,CHI 24
Pass,11:49,9,1,10,CHI 18
Pass,11:09,0,2,1,CHI 9
Pass,11:05,9,3,1,CHI 9
Pass,8:35,0,1,10,NWE 25
Pass,8:29,8,2,10,NWE 25
Pass,7:51,0,3,2,NWE 33
Run,0:54,0,1,10,NWE 18
Pass,0:16,20,2,10,NWE 18
Pass,9:46,0,1,10,NWE 36
Pass,9:40,6,2,10,NWE 36
Pass,9:03,7,3,4,NWE 42
Run,8:33,0,1,10,NWE 49
Pass,8:12,3,2,10,NWE 49
Run,7:31,6,3,7,CHI 48
Pass,6:46,19,4,1,CHI 42
Run,6:06,6,1,10,CHI 23
Pass,5:24,11,2,4,CHI 17
Pass,4:49,0,1,6,CHI 6
Run,4:45,1,2,6,CHI 6
Pass,4:04,5,3,5,CHI 5
Run,1:38,7,1,10,NWE 4
Run,1:07,6,2,3,NWE 11
Pass,0:37,8,1,10,NWE 17
Pass,0:31,0,2,2,NWE 25
Pass,0:26,-1,3,2,NWE 25
Pass,12:04,8,1,10,NWE 25
Pass,11:41,20,2,2,NWE 33
Pass,11:09,0,1,10,CHI 32
Pass,11:03,8,2,10,CHI 32
Pass,10:24,8,3,2,CHI 24
Run,9:46,7,1,10,CHI 16
Run,9:10,2,2,3,CHI 9
Pass,8:29,-4,3,1,CHI 7
Pass,3:38,5,1,10,NWE 21
Pass,2:56,5,2,5,NWE 26
Pass,2:15,0,1,10,NWE 31
Run,2:09,7,2,10,NWE 31
Pass,1:34,0,3,3,NWE 38
Run,13:05,2,1,10,NWE 4
Pass,12:32,6,2,8,NWE 6
Pass,11:56,10,3,2,NWE 12
Run,11:21,3,1,10,NWE 22
Pass,10:42,19,2,7,NWE 25
Pass,10:15,0,1,10,NWE 44
Pass,10:12,55,2,10,NWE 44
Run,9:24,-1,1,1,CHI 1
Pass,8:44,2,2,2,CHI 2
Run,7:47,4,1,10,CHI 43
Run,7:11,4,2,6,CHI 39
Run,4:05,5,1,10,NWE 41
Run,3:28,4,2,5,NWE 46
Run,2:52,2,3,1,50
Run,2:45,8,1,10,CHI 48
Run,2:37,3,2,2,CHI 40
Run,2:30,2,1,10,CHI 37
Run,2:00,2,2,8,CHI 35
Run,1:16,0,3,6,CHI 33
