Type,Time,Gained,Down,ToGo,Location
Run,15:00,6,1,10,NWE 25
Pass,14:24,0,2,4,NWE 31
Pass,14:20,7,3,4,NWE 31
Run,13:49,-4,1,10,NWE 38
Pass,13:06,0,2,14,NWE 34
Pass,13:00,0,3,14,NWE 34
Pass,10:01,5,1,10,NWE 20
Pass,9:39,11,2,5,NWE 25
Pass,9:20,9,1,10,NWE 36
Pass,9:12,12,2,1,NWE 45
Pass,8:48,0,1,10,BUF 43
Pass,8:44,8,2,10,BUF 43
Run,8:07,6,3,2,BUF 35
Pass,7:37,0,1,10,BUF 29
Pass,7:33,11,2,10,BUF 29
Pass,6:58,7,1,10,BUF 18
Run,6:30,6,2,3,BUF 11
Run,6:00,1,1,5,BUF 5
Pass,5:20,-6,2,4,BUF 4
Pass,4:54,0,3,7,BUF 7
Run,1:40,3,1,10,NWE 20
Pass,1:00,0,2,7,NWE 23
Run,0:57,8,3,7,NWE 23
Run,0:12,2,1,10,NWE 31
Pass,15:00,29,2,8,NWE 33
Pass,14:22,0,1,10,BUF 38
Pass,14:16,18,2,15,BUF 43
Run,13:38,2,1,10,BUF 25
Pass,12:58,-3,2,8,BUF 23
Pass,12:24,4,3,11,BUF 26
Pass,10:09,7,1,10,NWE 38
Run,9:41,2,1,10,50
Pass,9:00,15,2,8,BUF 48
Pass,8:14,11,1,10,BUF 33
Pass,7:29,-6,1,10,BUF 22
Pass,6:48,0,2,16,BUF 28
Pass,6:42,8,3,16,BUF 28
Pass,1:33,20,1,10,NWE 25
Pass,1:11,9,1,10,NWE 45
Pass,0:49,10,2,1,BUF 46
Pass,0:32,4,1,10,BUF 36
Pass,0:15,0,3,6,BUF 32
Run,11:15,0,1,10,NWE 5
Pass,10:39,7,2,10,NWE 5
Run,10:09,-1,3,3,NWE 12
Run,7:39,7,1,10,NWE 25
Pass,7:03,7,2,3,NWE 32
Pass,6:23,9,1,10,NWE 39
Pass,5:52,18,1,20,NWE 29
Run,5:11,5,2,2,NWE 47
Run,4:38,2,1,10,BUF 48
Pass,4:01,0,2,8,BUF 46
Pass,3:55,0,3,8,BUF 46
Pass,2:55,22,1,10,BUF 29
Run,2:50,0,1,7,BUF 7
Pass,2:15,0,2,7,BUF 7
Pass,2:11,0,3,7,BUF 7
Pass,14:48,3,1,10,NWE 15
Pass,14:27,9,2,7,NWE 18
Pass,14:09,10,2,16,NWE 9
Pass,13:23,26,3,6,NWE 19
Run,12:49,2,1,10,NWE 45
Pass,12:08,0,2,8,NWE 47
Pass,12:03,9,3,8,NWE 47
Run,11:30,22,1,10,BUF 44
Run,10:55,1,1,10,BUF 22
Pass,10:11,20,2,9,BUF 21
Run,10:01,1,1,1,BUF 1
Run,3:52,3,1,10,NWE 32
Run,3:47,0,2,7,NWE 35
Run,3:41,4,3,7,NWE 35
