player,age,G,GS,MP,FG,FGA,FG_per,3P,3PA,3P_per,2P,2PA,2P_per,FT,FTA,FT_per,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS_per_36,team
Klay Thompson,27,73,73,2506,8.3,16.9,.488,3.3,7.5,.440,5.0,9.5,.526,1.2,1.4,.837,0.4,3.5,4.0,2.7,0.8,0.5,1.8,1.7,21.0,GSW
Kevin Durant,29,68,68,2325,9.8,18.9,.516,2.7,6.4,.419,7.1,12.5,.565,5.6,6.3,.889,0.5,6.7,7.2,5.7,0.8,1.8,3.2,2.1,27.7,GSW
Draymond Green,27,70,70,2287,4.4,9.7,.454,1.2,4.0,.301,3.2,5.7,.562,2.1,2.7,.775,1.2,7.2,8.4,8.0,1.5,1.4,3.2,2.9,12.2,GSW
Stephen Curry,29,51,51,1631,9.4,19.1,.495,4.7,11.1,.423,4.8,8.0,.595,6.1,6.7,.921,0.8,5.0,5.8,6.8,1.8,0.2,3.4,2.5,29.7,GSW
Andre Iguodala,34,64,7,1622,3.3,7.1,.463,0.7,2.6,.282,2.6,4.5,.567,1.2,1.9,.632,1.1,4.4,5.5,4.7,1.2,0.8,1.5,2.2,8.5,GSW
Nick Young,32,80,8,1393,5.2,12.6,.412,3.2,8.4,.377,2.0,4.2,.481,1.4,1.7,.862,0.5,2.7,3.2,0.9,1.0,0.2,1.0,2.6,15.0,GSW
Shaun Livingston,32,71,7,1129,5.5,10.9,.501,0.0,0.2,.000,5.5,10.8,.509,1.6,1.9,.820,1.0,3.2,4.2,4.5,1.1,0.7,1.8,3.7,12.6,GSW
David West,37,73,0,999,7.8,13.6,.571,0.1,0.3,.375,7.7,13.3,.576,2.2,2.8,.759,2.3,6.3,8.6,5.0,1.7,2.7,2.9,4.3,17.8,GSW
Zaza Pachulia,33,69,57,972,5.5,9.8,.564,0.0,0.0,.000,5.5,9.7,.567,2.8,3.4,.806,3.3,8.6,11.9,4.0,1.4,0.6,2.7,4.5,13.8,GSW
Patrick McCaw,22,57,10,961,3.4,8.4,.409,0.7,3.0,.238,2.7,5.4,.503,1.0,1.3,.765,0.6,2.5,3.1,3.0,1.6,0.4,1.5,2.5,8.6,GSW
Kevon Looney,21,66,4,910,4.4,7.6,.580,0.0,0.2,.200,4.4,7.4,.590,1.7,3.0,.545,3.3,5.2,8.5,1.7,1.3,2.2,1.2,4.2,10.6,GSW
Jordan Bell,23,57,13,809,5.2,8.2,.627,0.0,0.2,.000,5.2,8.1,.641,1.3,2.0,.682,2.7,6.5,9.2,4.5,1.6,2.5,2.3,4.1,11.7,GSW
Quinn Cook,24,33,18,740,5.9,12.3,.484,2.2,5.1,.442,3.7,7.2,.514,1.1,1.2,.880,0.5,3.5,4.0,4.3,0.6,0.0,1.6,2.9,15.2,GSW
Omri Casspi,29,53,7,740,5.8,10.1,.580,0.5,1.1,.455,5.4,9.0,.595,2.4,3.4,.725,1.5,8.3,9.7,2.5,0.9,0.9,1.8,3.5,14.6,GSW
JaVale McGee,30,65,17,615,8.0,12.8,.621,0.0,0.4,.000,8.0,12.5,.638,2.2,3.0,.731,3.5,6.4,9.9,1.9,1.2,3.3,1.6,5.3,18.1,GSW
Damian Jones,22,15,0,89,4.4,8.9,.500,0.0,0.0,,4.4,8.9,.500,1.2,2.0,.600,2.0,3.6,5.7,0.8,0.4,1.2,1.6,5.7,10.1,GSW
Chris Boucher,25,1,0,1,0.0,36.0,.000,0.0,36.0,.000,0.0,0.0,,0.0,0.0,,0.0,36.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,GSW
DeMar DeRozan,28,80,80,2711,8.6,18.8,.456,1.2,3.8,.310,7.4,15.0,.494,6.1,7.4,.825,0.8,3.4,4.2,5.5,1.1,0.3,2.3,2.0,24.4,TOR
Kyle Lowry,31,78,78,2510,5.8,13.5,.427,3.4,8.5,.399,2.4,5.0,.474,3.2,3.7,.854,0.9,5.3,6.2,7.7,1.2,0.3,2.6,2.8,18.2,TOR
Serge Ibaka,28,76,76,2093,6.5,13.5,.483,1.8,5.1,.360,4.7,8.4,.559,1.6,2.0,.797,1.3,6.9,8.2,1.1,0.5,1.7,1.5,3.6,16.5,TOR
Jonas Valanciunas,25,77,77,1727,8.1,14.3,.568,0.6,1.5,.405,7.5,12.8,.587,3.5,4.4,.806,3.8,9.9,13.8,1.7,0.6,1.4,2.4,4.0,20.4,TOR
Pascal Siakam,23,81,5,1679,5.4,10.7,.508,0.6,2.8,.220,4.8,7.8,.612,1.2,1.9,.621,1.7,6.1,7.8,3.4,1.3,0.9,1.4,3.6,12.6,TOR
Jakob Poeltl,22,82,0,1524,6.0,9.1,.659,0.0,0.0,.500,6.0,9.0,.660,1.4,2.4,.594,3.9,5.4,9.3,1.3,0.9,2.4,2.0,5.0,13.4,TOR
Fred VanVleet,23,76,0,1520,5.5,12.9,.426,2.6,6.2,.414,2.9,6.7,.437,2.0,2.4,.832,0.6,3.8,4.4,5.8,1.6,0.5,1.8,3.1,15.5,TOR
OG Anunoby,20,74,62,1481,4.0,8.4,.471,1.8,4.8,.371,2.2,3.6,.604,0.9,1.5,.629,1.1,3.4,4.5,1.3,1.3,0.3,1.1,3.2,10.6,TOR
Delon Wright,25,69,4,1433,5.0,10.9,.465,1.4,3.8,.366,3.6,7.0,.520,2.4,2.9,.829,1.1,3.8,5.0,5.0,1.8,0.8,2.0,2.0,13.9,TOR
